Nuclide,Mass_Excess_keV,Mass_Uncertainty_keV,Half_Life,Spin_Parity,Year,Decay_Modes,Mass_Number,Element,Isomer
1n,8071.3181,0.0004,,,1932.0,β−=100,1,n,
1H,7288.9710,0.0001,STABLE,,1920.0,IS=99.985578,1,H,
2H,13135.7229,0.0001,STABLE,,3.0,IS=0.014578,2,H,
3H,14949.8109,0.0001,,,0.0,β−=100,3,H,
3He,14931.2188,0.0001,STABLE,,98.0,IS=0.00022,3,He,
3Li,28670#,2000#,p-unstable,,98.0,,3,Li,i
4H,24620,100,,,100.0,n=100,4,H,
4He,2424.9158,0.0001,STABLE,0+,98.0,IS=99.99982,4,He,
4Li,25320,210,,,210.0,p=100,4,Li,i
5Be,37140#,2000#,p-unstable,,18.0,,5,Be,
5H,32890,90,,,90.0,2n=100,5,H,
5He,11231,20,,,20.0,n=100,5,He,
5Li,11680,50,,,50.0,p=100,5,Li,i
6B,47320#,2000#,p-unstable,,,,6,B,
6Be,18375,5,,0+,2.0,2p=100,6,Be,
6H,41880,250,,,250.0,,6,H,
6He,17592.10,0.05,806.92ms0.24,0+,1936.0,β−=100;β−d=0.00027818,6,He,
6Li,14086.8804,0.0014,STABLE,,2.0,IS=4.85171,6,Li,i
6Lii,17649.76,0.10,,,56.0,IT=100,6,Li,i
7B,27677,25,,,25.0,p=100,7,B,
7Bei,26750,30,,,30.0,,7,Be,i
7Be,15769.00,0.07,,,3.0,ε=100,7,Be,
7H,49140#,1000#,,,652.0,,7,H,
7He,26073,8,,,1967.0,n=100,7,He,
7Li,14907.105,0.004,STABLE,,3.0,IS=95.15171,7,Li,i
7Lii,26150,30,,,30.0,,7,Li,i
8B,22921.6,1.0,771.9ms0.9,2+,1950.0,β+=100;β+α=100,8,B,
8Bei,21568,3,,,2004.0,,8,Be,i
8Be,4941.67,0.04,,0+,5.0,α=100,8,Be,
8Bi,33546,8,,,5.0,,8,Bi,i
8C,35064,18,,0+,18.0,2p=100,8,C,
8He,31609.68,0.09,119.5ms1.5,0+,1965.0,β−=100;β−n=161;,8,He,
8Li,20945.80,0.05,838.7ms0.3,2+,1935.0,β−=100;β−α=100,8,Li,i
8Lii,31768,5,,,5.0,,8,Li,i
9B,12416.5,0.9,,,800.0,p=100,9,B,
9Bei,25738.8,1.7,,,6.0,,9,Be,i
9Be,11348.45,0.08,STABLE,,6.0,IS=100,9,Be,
9Bi,27071.0,2.3,,,6.0,,9,Bi,i
9C,28911.0,2.1,126.5ms0.9,,1964.0,β+=100;β+p=7.56;,9,C,
9He,40940,50,,,50.0,n=100,9,He,
9Li,24954.91,0.19,178.2ms0.4,,1951.0,β−=100;β−n=50.510,9,Li,i
10B,12050.611,0.015,STABLE,,7.0,IS=19.6544,10,B,
10Bei,33787,21,,,21.0,,10,Be,i
10Be,12607.49,0.08,1.387My0.012,0+,1935.0,β−=100,10,Be,
10Bi,13790.66,0.04,,,7.0,IT=100,10,Bi,i
10C,15698.67,0.07,,0+,1949.0,β+=100,10,C,
10He,49200,90,,0+,90.0,2n=100,10,He,
10Li,33053,13,,,13.0,n=100,10,Li,i
10Lim,33250,40,,1+,40.0,IT=100,10,Li,m
10Lin,33530,40,,,40.0,IT=100,10,Li,n
10N,38800,400,,,400.0,,10,N,
11B,8667.708,0.012,STABLE,,12.0,IS=80.3544,11,B,
11Bei,41336,20,,,20.0,,11,Be,i
11Be,20177.17,0.24,,,1958.0,β−=100;β−α=3.31;,11,Be,
11Bi,21228,9,,,12.0,,11,Bi,i
11Bj,42230,80,,,80.0,,11,Bj,
11C,10649.40,0.06,,,1934.0,β+=100,11,C,
11Ci,22810,40,,,40.0,p=?,11,Ci,i
11Li,40728.3,0.6,8.75ms0.06,,1966.0,β−=100;β−n=86.39;,11,Li,i
11N,24366,5,,1/2+,585.0,p=100,11,N,
11Nm,25110,60,,,60.0,p=100,11,Nm,m
11O,47740,60,,,60.0,2p=100,11,O,
12B,13369.4,1.3,20.20ms0.02,,17.0,β−=100;β−α=0.602,12,B,
12Bem,27328.8,2.1,,0+,2251.0,IT=100,12,Be,m
12Be,25077.8,1.9,21.46ms0.05,0+,17.0,β−=100;β−n=0.503,12,Be,
12Bi,26088,19,,,19.0,,12,Bi,i
12C,0.0,0.0,STABLE,0+,17.0,IS=98.946,12,C,
12Ci,15108,3,,,17.0,IT=?;α?,12,Ci,i
12Cj,27595.0,2.4,,,17.0,,12,Cj,
12Li,49010,30,,,30.0,,12,Li,i
12N,17338.1,1.0,11.000ms0.016,,1949.0,β+=100;β+α=1.934,12,N,
12Ni,29580,4,,,,,12,Ni,i
12O,32013,12,,0+,12.0,2p=100,12,O,
13B,16561.9,1.0,17.16ms0.18,,1956.0,β−=100;β−n=0.26636,13,B,
13Bep,35160,50,,,50.0,,13,Be,p
13Be,33659,10,,,10.0,,13,Be,
13C,3125.0093,0.0002,STABLE,,1.0,IS=1.066,13,C,
13Ci,18233.8,1.1,,,0.0,IT=0.827;n?;α?,13,Ci,i
13F,42030#,500#,,,,,13,F,
13Li,56980,70,,,70.0,2n=100,13,Li,i
13N,5345.48,0.27,,,0.0,β+=100,13,N,
13Ni,20410.59,0.18,,,0.0,IT=4.93;p?;α?,13,Ni,i
13O,23115,10,8.58ms0.05,,10.0,β+=100;β+p=10.92,13,O,
14B,23664,21,12.36ms0.29,,21.0,β−=100;β−n=6.0423;,14,B,
14Bep,41470,60,,,60.0,,14,Be,p
14Be,39950,130,4.53ms0.27,0+,130.0,β−=100;β−n=866;β−2n=52;,14,Be,
14Bi,40728,20,,,20.0,,14,Bi,i
14C,3019.893,0.004,,0+,1.0,β−=100,14,C,
14Ci,25120,100,,,100.0,IT=100,14,Ci,i
14F,31960,40,,,40.0,,14,F,
14N,2863.4168,0.0002,STABLE,,1.0,IS=99.6205247,14,N,
14Ni,5176.007,0.010,,,1963.0,IT=100,14,Ni,i
14O,8007.781,0.025,,0+,1949.0,β+=100,14,O,
15B,28957,21,10.18ms0.35,,21.0,β−=100;β−n=98.710;,15,B,
15Be,49830,170,,,170.0,n=100,15,Be,
15C,9873.1,0.8,,1/2+,2.0,β−=100,15,C,
15F,16567,14,,1/2+,14.0,p=100,15,F,
15N,101.4381,0.0006,STABLE,,2.0,IS=0.3795247,15,N,
15Ne,40220,70,,,70.0,2p=100,15,Ne,
15Ni,11717,4,,,2.0,n?;p?;IT=0.0052319,15,Ni,i
15O,2855.6,0.5,,,1934.0,β+=100,15,O,
15Oi,14020#,40#,,,,p=100,15,Oi,i
16B,37112,25,,,25.0,,16,B,
16Be,57450,170,,0+,170.0,2n=100,16,Be,
16C,13694,4,750ms6,0+,99.0,β−=100;β−n=99.03,16,C,
16F,10675,5,,,21.0,p=100,16,F,
16N,5683.9,2.3,,,1933.0,β−=100;β−α=0.001545,16,N,
16Ne,23987,20,,0+,20.0,2p=100,16,Ne,
16Ni,15613,7,,,9929.0,,16,Ni,i
16Nm,5804.3,2.3,,,1957.0,IT≈100;β−=0.00038925,16,Nm,m
16Oi,8059,4,,,8059.0,IT=100,16,Oi,i
16Oj,17984,4,,,99.0,,16,Oj,
16Op,8231.60,0.27,,,,p=784;α=224;IT=0.283,16,Op,p
17B,43720,200,5.08ms0.05,,200.0,β−=100;β−n=631;,17,B,
17C,21032,17,193ms6,3/2+,17.0,β−=100;β−n=28.413;,17,C,
17F,1951.70,0.25,,5/2+,1934.0,β+=100,17,F,
17Fi,13144.7,1.9,,,99.0,,17,Fi,i
17N,7870,15,,,7870.0,β−=100;β−n=95.17;,17,N,
17Na,34720,60,,,60.0,p=100,17,Na,
17Ne,16500.5,0.4,109.2ms0.6,,1963.0,β+=100;β+p=94.429;,17,Ne,
17Oi,10270.02,0.17,,,99.0,β−?;n?;IT=0.4214,17,Oi,i
18B,51790,200,<26ns,,200.0,n=100,18,B,
18C,24920,30,92ms2,0+,30.0,β−=100;β−n=31.515;,18,C,
18F,873.1,0.5,,1+,1937.0,β+=100,18,F,
18Fi,1914.7,0.5,,,96.0,IT=100,18,Fi,i
18Fm,1994.5,0.5,,5+,162.0,IT=100,18,Fm,m
18N,13113,19,619.2ms1.9,,19.0,β−=100;β−n=7.015;,18,N,
18Na,25040,90,,,90.0,p=?,18,Na,
18Ne,5317.6,0.4,1664.20ms0.47,0+,1954.0,β+=100,18,Ne,
18Oi,15495,20,,,20.0,,18,Oi,i
19B,59770,530,2.92ms0.13,,530.0,β−=100;β−n=719;,19,B,
19C,32410,100,46.2ms2.3,1/2+,100.0,β−=100;β−n=473;β−2n=73,19,C,
19Fi,6052.2,0.9,,,96.0,IT=100,19,Fi,i
19Mg,31840,60,,,60.0,2p=100,19,Mg,
19N,15856,16,336ms3,,16.0,β−=100;β−n=41.89,19,N,
19Na,12929,11,,,11.0,p=100,19,Na,
19Nei,9253,9,,,9253.0,,19,Ne,i
19Ne,1752.05,0.16,,,1939.0,β+=100,19,Ne,
19O,3332.9,2.6,,5/2+,1936.0,β−=100,19,O,
20B,69400,550,,,550.0,n=100;β−n?;β−2n?,20,B,
20C,37500,230,16ms3,0+,230.0,β−=100;β−n=7011;,20,C,
20Fi,6503,3,,,6503.0,,20,Fi,i
20Mg,17477.7,1.9,90.4ms0.5,0+,1974.0,β+=100;β+p=30.312,20,Mg,
20N,21770,80,136ms3,,80.0,β−=100;β−n=42.914;,20,N,
20Nai,13348.9,1.2,,,98.0,p=100,20,Na,i
20Na,6850.5,1.1,447.9ms2.3,,1950.0,β+=100;β+α=25.04,20,Na,
20Nei,3230.5,2.0,,,98.0,IT=100,20,Ne,i
20O,3796.2,0.9,,0+,98.0,β−=100,20,O,
21Al,27090#,600#,<35ns,,,,21,Al,
21B,78380,560,,,560.0,2n=100,21,B,
21C,45640#,600#,<30ns,,,,21,C,
21Mg,10903.9,0.8,120.0ms0.4,,1963.0,β+=100;β+p=20.121;,21,Mg,
21N,25230,130,85ms5,,130.0,β−=100;β−n=873;β−2n?,21,N,
21Nai,6790,4,,,6790.0,,21,Na,i
21Nei,3129.0,0.3,,,15.0,,21,Ne,i
21O,8062,12,,,8062.0,β−=100;β−n?,21,O,
22Al,18200#,400#,91.1ms0.5,(4)+,15.0,β+=100;β+p=553;,22,Al,
22C,53610,230,6.2ms1.3,0+,230.0,β−=100;β−n=6114;β−2n<37,22,C,
22F,2793,12,,,2793.0,β−=100;β−n<11,22,F,
22Mgi,13644,6,,,,α=?;p=?,22,Mg,i
22N,31760,210,23ms3,,210.0,β−=100;β−n=343;,22,N,
22Nei,5855,10,,,5855.0,,22,Ne,i
22O,9280,60,,0+,9280.0,β−=100;β−n<22,22,O,
22Si,33640#,500#,28.7ms1.1,0+,1987.0,β+=100;β+p=625;,22,Si,i
23Ali,18470,40,,,40.0,p=0.105;2p=3.64,23,Al,i
23Al,6748.1,0.3,446ms6,5/2+,1969.0,β+=100;β+p=1.225,23,Al,
23C,64170#,1000#,,,,,23,C,
23F,3290,30,,5/2+,3290.0,β−=100;β−n<14,23,F,
23Mgi,2329.3,0.6,,,1981.0,IT≈100;p=0.178,23,Mg,i
23N,36720,420,13.9ms1.4,,420.0,β−=100;β−n=426;β−2n=84;,23,N,
23O,14620,120,97ms8,1/2+,120.0,β−=100;β−n=72,23,O,
23Si,23950#,500#,42.3ms0.4,,1986.0,β+=100;β+p≈88;β+2p=3.63,23,Si,i
24Ali,5900,3,,,5900.0,,24,Al,i
24Alm,376.99,0.25,130ms3,1+,7.0,IT=82.530;β+=17.530;,24,Al,m
24F,7540,100,384ms16,3+,7540.0,β−=100;β−n<5.9,24,F,
24N,46940#,400#,<52ns,,,,24,N,
24O,18500,160,77.4ms4.5,0+,160.0,β−=100;β−n=434,24,O,
24P,34020#,500#,,,,,24,P,
24Si,10745,19,143.2ms2.1,0+,19.0,β+=100;β+p=34.514,24,Si,i
25F,11330,100,80ms9,,100.0,β−=100;β−n=23.145;,25,F,
25N,55980#,500#,<260ns,,,,25,N,
25O,27330,170,,,170.0,n=100,25,O,
25P,20190#,400#,<30ns,,,,25,P,
25Si,3827,10,220.6ms1.0,5/2+,3827.0,β+=100;β+p=352,25,Si,i
26F,18670,110,8.2ms0.9,1+,110.0,β−=100;β−n=13.540;,26,F,
26Fm,19310,110,2.2ms0.1,,110.0,IT=8211;β−=?;β−n=128,26,Fm,m
26Ne,481,18,197ms2,0+,481.0,β−=100;β−n=0.133,26,Ne,
26O,34660,160,,0+,160.0,2n=100,26,O,
26P,10970#,200#,43.6ms0.3,(3)+,1983.0,β+=100;β+p=35.114;,26,P,
26Pm,11130#,200#,,,115.0,IT=100,26,Pm,m
26S,27680#,600#,<79ns,0+,,,26,S,
26Sii,5874,4,,,5874.0,,26,Si,i
27F,25130,120,5.0ms0.2,,120.0,β−=100;β−n=7721;β−2n?,27,F,
27Ne,7050,90,30.9ms1.1,,7050.0,β−=100;β−n=2.05;β−2n?,27,Ne,
27O,44670#,500#,<260ns,,,,27,O,
27Pi,12010,30,,,30.0,,27,Pi,i
27S,17490#,400#,16.3ms0.2,,1986.0,β+=100;β+p=613;,27,S,
28Cl,28270#,500#,>100ns,,2018.0,p=100,28,Cl,
28F,33400,120,,,120.0,n=100,28,F,
28Ne,11300,130,18.8ms0.2,0+,130.0,β−=100;β−n=121;,28,Ne,
28O,52080#,700#,<100ns,0+,,2n?;β−=0,28,O,
28S,4070,160,125ms10,0+,4070.0,β+=100;β+p=20.719,28,S,
29Ar,37970#,440#,>100ns,,2018.0,2p=100,29,Ar,r
29Cl,14020#,190#,,,1993.0,p=100,29,Cl,
29F,40150,530,2.5ms0.3,,530.0,β−=100;β−n=6040;β−2n?,29,F,
29Na,2680,7,43.2ms0.4,,2680.0,β−=100;β−n=223;β−2n?,29,Na,
29Ne,18400,150,14.7ms0.4,,150.0,β−=100;β−n=285;β−2n=41,29,Ne,
30Ar,22070#,180#,,0+,,2p=100,30,Ar,r
30Cl,4675,24,>100ns,,4675.0,p=100,30,Cl,
30F,48960#,500#,<260ns,,,,30,F,
30Na,8475,5,45.9ms0.7,,8475.0,β−=100;β−n=28.622;,30,Na,
30Ne,23280,250,7.22ms0.18,0+,250.0,β−=100;β−n=134;,30,Ne,
31Ar,11330#,200#,15.0ms0.3,,1986.0,β+=100;β+p=68.33;,31,Ar,r
31Cli,5256,3,,,5256.0,,31,Cl,i
31F,56840#,540#,2#ms>260ns,,1999.0,,31,F,
31K,34260#,300#,,,2019.0,3p=100,31,K,
31Na,12246,14,16.8ms0.3,,14.0,β−=100;β−n=36.035;,31,Na,
31Ne,31180,270,3.4ms0.8,,270.0,β−=100;β−n?;β−2n?,31,Ne,
32K,21990#,400#,,,,,32,K,
32Km,22940#,410#,,,,,32,Km,m
32Na,18640,40,12.9ms0.3,,40.0,β−=100;β−n=266;,32,Na,
32Ne,37000#,500#,3.5ms0.9,0+,11.0,β−=100;β−n?;β−2n?,32,Ne,
33Ca,31030#,400#,,,,,33,Ca,
33K,7540#,200#,<25ns,,,,33,K,
33Mg,4962.9,2.7,92.0ms1.2,,1979.0,β−=100;β−n=142;β−2n?,33,Mg,
33Na,23780,450,8.2ms0.4,,450.0,β−=100;β−n=476;,33,Na,
33Ne,46130#,600#,<260ns,,,,33,Ne,
34Ca,14890#,300#,<35ns,0+,,,34,Ca,
34Mg,8323,7,44.9ms0.4,0+,8323.0,β−=100;β−n=217;β−2n<0.1,34,Mg,
34Na,31680,600,5.5ms1.0,1+,600.0,β−=100;β−2n≈50;β−n≈15,34,Na,
34Ne,52840#,510#,,0+,2002.0,,34,Ne,
35Ca,5190#,200#,25.7ms0.2,,1985.0,β+=100;β+p=95.814;,35,Ca,
35Mg,15640,270,11.3ms0.6,,270.0,β−=100;β−n=5246;β−2n?,35,Mg,
35Na,37830#,670#,1.5ms0.5,,11.0,β−=100;β−n?;β−2n?,35,Na,
35Sc,27100#,400#,,,,,35,Sc,
36Al,5950,150,90ms40,,5950.0,β−=100;β−n<31;β−2n?,36,Al,
36Mg,20380,690,3.9ms1.3,0+,690.0,β−=100;β−n=4812;β−2n?,36,Mg,
36Na,45900#,690#,<180ns,,,,36,Na,
37Al,9810,180,11.4ms0.3,,9810.0,β−=100;β−n=525;β−2n>1,37,Al,
37Mg,28210,700,8ms4,,700.0,,37,Mg,
37Na,53130#,690#,,,2002.0,,37,Na,
37Sc,3780#,300#,,,,,37,Sc,
37Ti,25170#,400#,,,,,37,Ti,i
38Al,16470#,150#,9.0ms0.7,,1989.0,β−=100;β−n=8419;β−2n?,38,Al,
38Mg,34070#,500#,2#ms>260ns,0+,17.0,β−=100#;β−n?;β−2n?,38,Mg,
38Na,61910#,720#,<400ns,,,,38,Na,
38Ti,11370#,300#,<120ns,0+,,,38,Ti,i
39Al,21490#,300#,7.6ms1.6,,18.0,β−=100;β−n=9722;β−2n?,39,Al,
39Mg,42780#,510#,<180ns,,18.0,,39,Mg,
39Na,69980#,740#,1#ms>400ns,,2019.0,,39,Na,
39Si,2320,140,41.2ms4.1,,2320.0,β−=100;β−n=333;β−2n?,39,Si,i
39Ti,2500#,200#,28.5ms0.9,,1990.0,β+=100;β+p=93.728;,39,Ti,i
39V,22570#,400#,,,,,39,V,
40Al,28820#,300#,10#ms>260ns,,17.0,,40,Al,
40Mg,49550#,500#,1#ms>170ns,0+,2007.0,,40,Mg,
40Si,5670,120,31.2ms2.6,0+,5670.0,β−=100;β−n=385;β−2n?,40,Si,i
40V,12470#,300#,,,,,40,V,
41Al,34590#,400#,6#ms>260ns,,1997.0,,41,Al,
41Cr,20410#,400#,,,,,41,Cr,r
41Mg,58100#,500#,,,,,41,Mg,
41Si,13200#,300#,20.0ms2.5,,16.0,β−=100;β−n>55;β−2n?,41,Si,i
41V,310#,200#,,,,,41,V,
42Al,41990#,500#,3#ms>170ns,,16.0,,42,Al,
42Cr,7060#,300#,13.3ms1.0,0+,16.0,β+≈100;β+p=94.450;2p?,42,Cr,r
42P,1090,100,48.5ms1.5,,1090.0,β−=100;β−n=5020;β−2n?,42,P,
42Si,16840#,300#,12.5ms3.5,0+,16.0,β−=100;β−n?;β−2n?,42,Si,i
43Al,48270#,600#,4#ms>170ns,,15.0,,43,Al,
43Mn,17370#,400#,,,,,43,Mn,n
43P,5040#,300#,35.8ms1.3,,1989.0,β−=100;β−n=100;β−2n?,43,P,
43Si,24330#,400#,30#ms>260ns,,2002.0,,43,Si,i
44Mn,7460#,300#,<105ns,,11.0,,44,Mn,n
44P,11110#,400#,18.5ms2.5,,11.0,β−=100;β−n?;β−2n?,44,P,
44Si,29310#,500#,4#ms>360ns,0+,11.0,,44,Si,i
45Fe,14410#,280#,2.5ms0.2,,1996.0,2p=704;β+=304;,45,Fe,
45P,15960#,500#,10#ms>200ns,,8.0,,45,P,
45Si,37090#,600#,,,,,45,Si,i
46Fe,1210#,300#,13.0ms2.0,0+,1992.0,β+=100;β+p=78.738;,46,Fe,
46P,22840#,500#,9#ms>200ns,,1990.0,,46,P,
46S,640#,400#,50ms8,0+,10.0,β−=100;β−n?;β−2n?,46,S,
47Co,10620#,600#,,,,,47,Co,o
47P,28810#,600#,4#ms>400ns,,2018.0,,47,P,
47S,7200#,400#,24#ms>200ns,,1989.0,,47,S,
48Co,1730#,500#,,,6.0,,48,Co,o
48Ni,18180#,420#,2.8ms0.8,0+,2000.0,2p=7020;β+=3020;β+p?,48,Ni,i
48S,12390#,500#,10#ms>200ns,0+,6.0,,48,S,
49Cl,740#,400#,35#ms>200ns,,1989.0,,49,Cl,
49Ni,8530#,600#,7.5ms1.0,,8.0,β+=100;β+p=83.413.2,49,Ni,i
49S,20390#,580#,4#ms>400ns,,2018.0,,49,S,
50Cl,7700#,400#,10#ms>620ns,,2009.0,,50,Cl,
51Cl,14290#,700#,5#ms>200ns,,16.0,,51,Cl,
52Cl,22360#,700#,2#ms>400ns,,2018.0,,52,Cl,
53Ar,6790#,700#,20#ms>620ns,,2009.0,,53,Ar,r
54Ar,12560#,800#,5#ms>400ns,0+,2018.0,,54,Ar,r
55K,470#,500#,10#ms>620ns,,2009.0,,55,K,
56K,7980#,600#,5#ms>620ns,,2009.0,,56,K,
57K,14130#,600#,2#ms>400ns,,2018.0,,57,K,
58K,21930#,700#,2#ms>400ns,,2019.0,,58,K,
59Ca,5810#,600#,5#ms>400ns,,2018.0,,59,Ca,
59K,28750#,800#,1#ms>400ns,,2018.0,,59,K,
60Ca,11000#,700#,2#ms>400ns,0+,2018.0,,60,Ca,
61Ca,19010#,800#,,,,,61,Ca,
61Sc,500#,600#,7#ms>620ns,,2009.0,,61,Sc,
62Sc,7310#,600#,2#ms>400ns,,2018.0,,62,Sc,
63Sc,13070#,700#,,,,,63,Sc,
65Ti,5210#,700#,,,,,65,Ti,i
170Hg,5420#,300#,,0+,310.0,α=100,170,Hg,
171Hg,3340#,310#,,,70.0,,171,Hg,
176Tl,580,80,6.2ms2.3,,580.0,,176,Tl,
178Pb,3573,23,,0+,3573.0,,178,Pb,
179Pb,2050,80,2.7ms0.2,,2050.0,α=100,179,Pb,
184Bi,1250#,120#,6.6ms1.5,,10.0,α=100,184,Bi,i
184Bim,1400#,160#,13ms2,,10.0,α=100,184,Bi,m
186Po,4102,18,,0+,4102.0,,186,Po,o
187Pom,2830,40,0.5ms,,2830.0,,187,Po,m
187Po,2820,30,1.40ms0.25,,2820.0,,187,Po,o
191Atm,3922,18,2.2ms0.4,,3922.0,,191,At,m
191At,3864,16,2.1ms0.8,1/2+,3864.0,,191,At,t
192Atm,2926,28,88ms6,,2926.0,α=100;β+?;β+SF<0.51,192,At,m
192At,2926,28,11.5ms0.6,,2926.0,α=100;β+?;β+SF<0.51,192,At,t
193Rn,9043,25,1.15ms0.27,,9043.0,,193,Rn,n
194Rn,5725,17,,0+,5725.0,,194,Rn,n
195Rnm,5131,17,6ms3,13/2+,5131.0,α=100,195,Rn,m
195Rn,5050,50,7ms3,,5050.0,α=100,195,Rn,n
196Rn,1975,14,4.7ms1.1,0+,1975.0,,196,Rn,n
197Fr,10250,60,2.3ms1.9,,60.0,,197,Fr,r
197Rnm,1709,16,25.6ms2.5,13/2+,1709.0,,197,Rn,m
197Rn,1510,16,54ms6,,1510.0,,197,Rn,n
198Frm,9580,40,1.1ms0.7,,9580.0,,198,Fr,m
198Fr,9580,30,15ms3,,9580.0,,198,Fr,r
199Frm,6817,10,6.5ms0.9,,6817.0,,199,Fr,m
199Frn,7020#,50#,2.2ms1.2,,,,199,Fr,n
199Fr,6771,14,6.6ms2.2,,6771.0,,199,Fr,r
200Frm,6180,60,190ms120,,6180.0,,200,Fr,m
200Frn,6280#,60#,,,790.0,,200,Fr,n
200Fr,6130,30,47.5ms2.8,,6130.0,α=100;β+?;β+SF?,200,Fr,r
201Frm,3718,10,24ms6,1/2+,3718.0,α=100,201,Fr,m
201Frn,3879,9,,13/2+,3879.0,IT=100,201,Fr,n
201Fr,3589,9,62.8ms1.9,,3589.0,,201,Fr,r
201Ram,12200,26,6ms5,13/2+,26.0,α=100,201,Ra,m
201Ra,11937,20,20ms30,,20.0,α=100,201,Ra,
202Frm,3359,6,286ms13,,3359.0,α≈100;IT=?;β+?,202,Fr,m
202Fr,3102,6,372ms12,,3102.0,,202,Fr,r
202Ra,9075,15,4.1ms1.1,0+,9075.0,α=100,202,Ra,
203Frm,1237,7,43ms4,1/2+,1237.0,IT=804;α=204,203,Fr,m
203Frn,1302,6,,13/2+,1302.0,IT=100,203,Fr,n
203Fr,876,6,550ms10,,876.0,,203,Fr,r
203Ram,8848,10,25ms5,13/2+,8848.0,,203,Ra,m
203Ra,8601,10,36ms13,,8601.0,,203,Ra,
204Frm,658,25,,,658.0,α=902;β+?,204,Fr,m
204Frn,934,25,,,934.0,α=5310;IT=4710,204,Fr,n
204Fr,607,25,,,607.0,α=962;β+?,204,Fr,r
204Ra,6061,9,60ms9,0+,6061.0,,204,Ra,
205Ac,14110,60,80ms60,,60.0,,205,Ac,
205Ram,6067,11,180ms50,13/2+,6067.0,,205,Ra,m
205Ra,5804,23,220ms50,,5804.0,,205,Ra,
206Acm,13690,30,41ms16,,30.0,,206,Ac,m
206Ac,13480,70,25ms7,3+,70.0,,206,Ac,
206Ra,3566,18,240ms20,0+,3566.0,,206,Ra,
207Ac,11150,60,31ms8,,60.0,,207,Ac,
207Ram,4071,10,57ms8,13/2+,4071.0,IT=85#;α=?;β+?,207,Ra,m
207Ra,3510,60,,,3510.0,,207,Ra,
208Acm,11258,28,28ms7,,28.0,,208,Ac,m
208Ac,10760,60,97ms15,3+,60.0,,208,Ac,
208Ram,3875,9,,,3875.0,IT=100,208,Ra,m
208Ra,1728,9,,0+,1728.0,α=873;β+?,208,Ra,
208Th,16690,30,2.4ms1.2,0+,30.0,,208,Th,
209Ac,8840,60,94ms10,,8840.0,,209,Ac,
209Frm,878,12,,,878.0,IT=100,209,Fr,m
209Ram,2740,6,,13/2+,2740.0,,209,Ra,m
209Ra,1858,6,,,1858.0,,209,Ra,
209Thm,16765,25,3.1ms1.2,13/2+,25.0,,209,Th,m
209Th,16400#,100#,,,,,209,Th,
210Ac,8760,60,350ms40,,8760.0,,210,Ac,
210Au,2680#,400#,>300ns,,2010.0,,210,Au,u
210Frm,1073,13,,(23)+,1073.0,IT=100,210,Fr,m
210Ram,2494,9,,8+,2494.0,IT=100,210,Ra,m
210Ra,443,9,,0+,443.0,,210,Ra,
210Th,14060,19,16.0ms3.6,0+,19.0,,210,Th,
211Ac,7140,50,213ms25,,7140.0,,211,Ac,
211Frn,517,12,,,517.0,IT=100,211,Fr,n
211Pa,22050,70,6ms3,,70.0,,211,Pa,
211Ram,2030,5,,13/2+,2030.0,IT=100,211,Ra,m
211Ra,832,5,,,832.0,,211,Ra,
211Rnn,150#,21#,,,201.0,IT=100,211,Rn,n
211Th,13880,90,48ms20,,90.0,,211,Th,
212Ac,7300,22,895ms28,,7300.0,,212,Ac,
212Frp,2339,9,,,2339.0,IT=100,212,Fr,p
212Frq,5017,9,,,5017.0,IT=100,212,Fr,q
212Hg,3020#,300#,>300ns,0+,2010.0,,212,Hg,
212Pa,21600,90,5.8ms1.9,,90.0,α=100,212,Pa,
212Ram,1759,10,,8+,1759.0,IT=100,212,Ra,m
212Ran,2414,10,,,2414.0,IT=100,212,Ra,n
212Th,12111,10,31.7ms1.3,0+,10.0,,212,Th,
213Ac,6141,12,738ms16,,6141.0,,213,Ac,
213Frp,4541,5,,,4541.0,IT=100,213,Fr,p
213Hg,8200#,300#,>300ns,,2010.0,,213,Hg,
213Pa,19650,60,7.4ms2.4,,60.0,α=100,213,Pa,
213Ram,2114,11,2.20ms0.05,,2114.0,IT≈99;α=0.64,213,Ra,m
213Ra,346,10,,,346.0,α=872;β+=132,213,Ra,
213Rnp,269,14,,,269.0,IT=100,213,Rn,p
213Thm,13300,9,,(13/2)+,,IT=100,213,Th,m
213Thp,12380#,50#,,,,,213,Th,p
213Th,12120,9,144ms21,,7.0,,213,Th,
213Tlm,2460#,300#,,,,IT=100,213,Tl,m
213Tln,3030#,100#,,,,IT=100,213,Tl,n
213Tl,1784,27,,,1784.0,β−=100;β−n=7.634,213,Tl,
214Ac,6433,14,,,6433.0,α=934;β+=74,214,Ac,
214Frp,5620#,100#,,,108.0,IT=100,214,Fr,p
214Hg,11770#,400#,>300ns,0+,2010.0,,214,Hg,
214Pa,19460,80,17ms3,,80.0,,214,Pa,
214Pbm,1237,20,,,1237.0,IT=100,214,Pb,m
214Ram,1913,5,,6+,1913.0,IT=100,214,Ra,m
214Ran,1958,5,,8+,1958.0,IT=99.917;α=0.097,214,Ra,n
214Rap,2776,5,,,2776.0,IT=100,214,Ra,p
214Raq,3571,5,,14+,3571.0,IT=100,214,Ra,q
214Rar,4240,5,,,4240.0,IT=100,214,Ra,r
214Rax,6670,5,,,6670.0,IT=100,214,Ra,x
